neighbourhood_cleansed,room_type,pearson_r,sample_size,avg_price_clean,avg_review_scores_rating
Morris Park,Entire home/apt,0.35315530404370366,10,108.3,4.944
Morris Park,Private room,0.04137061036589298,16,59.5,4.914375
Mott Haven,Entire home/apt,0.1755671097844703,13,165.07692307692307,4.804615384615384
Mount Hope,Private room,-0.27040719997910895,22,58.68181818181818,4.779545454545454
Murray Hill,Entire home/apt,0.2033855441095062,150,217.24666666666667,4.5584
Murray Hill,Private room,-0.40480357551363605,22,329.20454545454544,4.258181818181818
Nolita,Entire home/apt,0.06773006015346196,54,245.77777777777777,4.779814814814815
Norwood,Private room,0.29531564297761165,12,81.66666666666667,4.74
Ozone Park,Entire home/apt,-0.19850908716408636,19,122.78947368421052,4.5131578947368425
Ozone Park,Private room,-0.10319104841206403,29,147.70689655172413,4.922413793103448
Park Slope,Entire home/apt,0.196306642890662,80,222.575,4.84675
Park Slope,Private room,0.1906201174748994,46,183.55434782608697,4.726304347826086
Port Morris,Entire home/apt,0.20295159279608246,17,297.05882352941177,3.941764705882353
Prospect Heights,Entire home/apt,-0.11007262494404599,33,226.66666666666666,4.87909090909091
Prospect Heights,Private room,0.37029591555456265,19,195.89473684210526,4.8568421052631585
Prospect-Lefferts Gardens,Entire home/apt,0.005148878296917862,84,190.66666666666666,4.7023809523809526
Prospect-Lefferts Gardens,Private room,0.2521981994050618,68,109.26470588235294,4.597647058823529
Queens Village,Entire home/apt,0.2984764414636732,32,151.25,4.520625
Queens Village,Private room,-0.013954234664281955,18,91.77777777777777,4.8566666666666665
Red Hook,Entire home/apt,0.07754834638364257,10,213.5,4.954000000000001
Rego Park,Private room,0.03770793577474332,15,85.93333333333334,4.826666666666667
Richmond Hill,Entire home/apt,-0.10954329594731689,25,150.84,4.7836
Richmond Hill,Private room,0.19699800236508033,33,102.24242424242425,4.738484848484848
Ridgewood,Entire home/apt,-0.2104118857487951,57,212.56140350877192,4.859824561403508
Ridgewood,Private room,0.3337342017661199,71,94.5774647887324,4.5222535211267605
Rockaway Beach,Entire home/apt,0.4227802681969275,30,164.4,4.8116666666666665
Rockaway Beach,Private room,0.6136208109626217,11,126.0909090909091,4.86090909090909
Roosevelt Island,Private room,-0.592599100944344,16,198.5625,4.876250000000001
Rosedale,Entire home/apt,0.1710034270842579,30,153.0,4.787333333333333
Rosedale,Private room,0.08597744170881227,33,113.3030303030303,4.7236363636363645
Sea Gate,Entire home/apt,0.06307156742102633,13,127.15384615384616,4.909999999999999
Sheepshead Bay,Entire home/apt,0.1365080390087921,31,158.67741935483872,4.824838709677419
Sheepshead Bay,Private room,0.009183643471209825,17,168.5,4.758823529411764
SoHo,Entire home/apt,0.16700757415841613,45,273.06666666666666,4.794444444444445
SoHo,Private room,0.5251796789307813,18,437.25,4.691111111111112
South Ozone Park,Entire home/apt,0.20105033889557192,13,217.92307692307693,4.852307692307692
South Ozone Park,Private room,0.1607946514244186,38,166.1315789473684,4.774473684210527
South Slope,Entire home/apt,0.285671255541013,44,204.3181818181818,4.868181818181818
South Slope,Private room,0.3840954152692793,14,116.28571428571429,4.824285714285714
Springfield Gardens,Entire home/apt,0.018335677271820443,48,195.70833333333334,4.660208333333333
Springfield Gardens,Private room,0.0472646042696635,32,97.09375,4.8125
St. Albans,Entire home/apt,0.19122331357247938,37,161.56756756756758,4.805675675675675
St. Albans,Private room,0.016759679484162394,46,90.26086956521739,4.73195652173913
