support_priority_rank,listing_id,name,neighbourhood_cleansed,borough,room_type,minimum_nights,price,peer_median_price,price_gap_pct,available_days,total_days,vacancy_rate,support_reason
82,51670402,3 Bedroom unit For large groups,East Flatbush,Brooklyn,Entire home/apt,30,390.0,180.0,1.1667,365,365,1.0,Strict 30+ night minimum AND price 117% above peer median; 100% vacant.
83,842691777475545064,Lovely 2Bd 2BA w/Private Balcony,Red Hook,Brooklyn,Private room,31,240.0,111.0,1.1622,365,365,1.0,Strict 31+ night minimum AND price 116% above peer median; 100% vacant.
84,712260,Private Two Bedroom with Garden in Cobble Hill,Carroll Gardens,Brooklyn,Private room,30,240.0,111.0,1.1622,365,365,1.0,Strict 30+ night minimum AND price 116% above peer median; 100% vacant.
85,22971234,Art Deco New York City,St. Albans,Queens,Private room,30,240.0,111.0,1.1622,365,365,1.0,Strict 30+ night minimum AND price 116% above peer median; 100% vacant.
86,17929219,Heart of West Village Big+Bright+Beautiful True1BD,West Village,Manhattan,Entire home/apt,30,389.0,180.0,1.1611,365,365,1.0,Strict 30+ night minimum AND price 116% above peer median; 100% vacant.
87,54276494,"HUGE! 2 Bd/2 Ba 1,200 Sq ft in HEART of Manhattan!",Stuyvesant Town,Manhattan,Entire home/apt,30,388.0,180.0,1.1556,365,365,1.0,Strict 30+ night minimum AND price 116% above peer median; 100% vacant.
88,1480612826420062802,Stylish Quiet 2BR Nr TimesSq+Gym,Midtown,Manhattan,Entire home/apt,30,380.0,180.0,1.1111,365,365,1.0,Strict 30+ night minimum AND price 111% above peer median; 100% vacant.
89,662908139346389329,"Top of Central Park, private room/bath with yard",Harlem,Manhattan,Private room,30,233.0,111.0,1.0991,365,365,1.0,Strict 30+ night minimum AND price 110% above peer median; 100% vacant.
90,1476817181656019657,Spacious room in Brooklyn,Bushwick,Brooklyn,Private room,30,232.0,111.0,1.0901,365,365,1.0,Strict 30+ night minimum AND price 109% above peer median; 100% vacant.
91,552972547593855946,Entire cozy 2 Bedroom - Prime UES (30 Day Min),Upper East Side,Manhattan,Entire home/apt,30,375.0,180.0,1.0833,365,365,1.0,Strict 30+ night minimum AND price 108% above peer median; 100% vacant.
92,1309031254882729294,Guest room perfect for 2,Bedford-Stuyvesant,Brooklyn,Private room,30,231.0,111.0,1.0811,365,365,1.0,Strict 30+ night minimum AND price 108% above peer median; 100% vacant.
93,1744709,Apartment with skylight in bedroom,Bedford-Stuyvesant,Brooklyn,Private room,30,229.0,111.0,1.0631,365,365,1.0,Strict 30+ night minimum AND price 106% above peer median; 100% vacant.
94,52688154,Lovey Apartment on Upper East Side,Upper East Side,Manhattan,Private room,30,229.0,111.0,1.0631,365,365,1.0,Strict 30+ night minimum AND price 106% above peer median; 100% vacant.
95,858207672407178675,Great location Luxury apartment,Astoria,Queens,Private room,30,229.0,111.0,1.0631,365,365,1.0,Strict 30+ night minimum AND price 106% above peer median; 100% vacant.
96,9708577,Miriams Place,Borough Park,Brooklyn,Entire home/apt,30,370.0,180.0,1.0556,365,365,1.0,Strict 30+ night minimum AND price 106% above peer median; 100% vacant.
