borough,room_type,minimum_nights_group,price_setting_group,q1,median,q3,whisker_low,whisker_high,sample_size,baseline_median_vacancy,vacancy_lift_pp
Manhattan,Private room,30+ nights,Normal/lower fixed price,0.376712,0.709589,0.978082,0.0,1.0,335,0.435616,27.4
Manhattan,Private room,7-29 nights,High fixed price,0.352055,0.490411,0.510959,0.113699,0.749315,3,0.435616,5.48
Manhattan,Shared room,1-2 nights,High fixed price,0.810959,0.810959,0.810959,0.810959,0.810959,1,,
Manhattan,Shared room,3-6 nights,High fixed price,0.830137,0.830137,0.830137,0.830137,0.830137,1,,
Manhattan,Shared room,30+ nights,High fixed price,0.687671,0.734247,0.739726,0.609589,0.817808,5,,
Manhattan,Shared room,30+ nights,Normal/lower fixed price,0.238356,0.491781,0.938356,0.0,1.0,8,,
Manhattan,Shared room,7-29 nights,Normal/lower fixed price,0.852459,0.852459,0.852459,0.852459,0.852459,1,,
Queens,All,1-2 nights,High fixed price,0.555479,0.793151,0.922603,0.004795,1.0,102,0.731507,6.16
Queens,All,1-2 nights,Normal/lower fixed price,0.427397,0.731507,0.89589,0.0,1.0,151,0.731507,0.0
Queens,All,3-6 nights,High fixed price,0.664384,0.893151,0.954795,0.228767,1.0,35,0.731507,16.16
Queens,All,3-6 nights,Normal/lower fixed price,0.249315,0.484932,0.775342,0.0,1.0,61,0.731507,-24.66
Queens,All,30+ nights,High fixed price,0.726027,0.950685,1.0,0.315068,1.0,183,0.731507,21.92
Queens,All,30+ nights,Normal/lower fixed price,0.490411,0.753425,0.99726,0.0,1.0,889,0.731507,2.19
Queens,All,7-29 nights,High fixed price,0.250685,0.427397,0.683562,0.0,1.0,3,0.731507,-30.41
Queens,All,7-29 nights,Normal/lower fixed price,0.436986,0.624658,0.649315,0.118493,0.967808,3,0.731507,-10.68
Queens,Entire home/apt,1-2 nights,High fixed price,0.550685,0.775342,0.915068,0.00411,1.0,37,0.686301,8.9
Queens,Entire home/apt,1-2 nights,Normal/lower fixed price,0.582192,0.686301,0.882877,0.131164,1.0,46,0.686301,0.0
