review_month,room_type,review_count
2021-06,Entire home/apt,3393
2021-06,Hotel room,62
2021-06,Private room,3219
2021-06,Shared room,43
2021-07,Entire home/apt,3941
2021-07,Hotel room,58
2021-07,Private room,3577
2021-07,Shared room,43
2021-08,Entire home/apt,4391
2021-08,Hotel room,44
2021-08,Private room,3838
2021-08,Shared room,63
2021-09,Entire home/apt,4267
2021-09,Hotel room,39
2021-09,Private room,4092
2021-09,Shared room,44
2021-10,Entire home/apt,4704
2021-10,Hotel room,15
2021-10,Private room,4320
2021-10,Shared room,59
2021-11,Entire home/apt,4734
2021-11,Hotel room,22
2021-11,Private room,4269
2021-11,Shared room,55
2021-12,Entire home/apt,5246
2021-12,Hotel room,41
2021-12,Private room,4588
2021-12,Shared room,62
2022-01,Entire home/apt,3591
2022-01,Hotel room,45
2022-01,Private room,3028
2022-01,Shared room,48
2022-02,Entire home/apt,3104
2022-02,Hotel room,34
2022-02,Private room,2906
2022-02,Shared room,36
2022-03,Entire home/apt,4519
2022-03,Hotel room,46
2022-03,Private room,4179
2022-03,Shared room,56
2022-04,Entire home/apt,5562
2022-04,Hotel room,38
2022-04,Private room,4987
2022-04,Shared room,64
2022-05,Entire home/apt,6758
2022-05,Hotel room,55
2022-05,Private room,6137
2022-05,Shared room,97
2022-06,Entire home/apt,6195
2022-06,Hotel room,52
2022-06,Private room,5701
2022-06,Shared room,81
2022-07,Entire home/apt,6266
2022-07,Hotel room,52
2022-07,Private room,5876
2022-07,Shared room,89
2022-08,Entire home/apt,6795
2022-08,Hotel room,48
2022-08,Private room,6183
2022-08,Shared room,75
2022-09,Entire home/apt,7561
2022-09,Hotel room,51
2022-09,Private room,7082
2022-09,Shared room,109
2022-10,Entire home/apt,7860
2022-10,Hotel room,27
2022-10,Private room,7441
2022-10,Shared room,127
2022-11,Entire home/apt,6921
2022-11,Hotel room,34
2022-11,Private room,6271
2022-11,Shared room,94
2022-12,Entire home/apt,7296
2022-12,Hotel room,75
2022-12,Private room,6352
2022-12,Shared room,94
2023-01,Entire home/apt,5336
2023-01,Hotel room,90
2023-01,Private room,4856
2023-01,Shared room,62
2023-02,Entire home/apt,4575
2023-02,Hotel room,42
2023-02,Private room,3978
2023-02,Shared room,54
2023-03,Entire home/apt,6523
2023-03,Hotel room,60
2023-03,Private room,5819
2023-03,Shared room,78
2023-04,Entire home/apt,8349
2023-04,Hotel room,49
2023-04,Private room,7383
2023-04,Shared room,106
2023-05,Entire home/apt,9449
2023-05,Hotel room,17
2023-05,Private room,9230
2023-05,Shared room,119
2023-06,Entire home/apt,8467
2023-06,Hotel room,12
2023-06,Private room,8447
2023-06,Shared room,121
2023-07,Entire home/apt,8606
2023-07,Hotel room,5
2023-07,Private room,8022
2023-07,Shared room,132
2023-08,Entire home/apt,8748
2023-08,Hotel room,3
2023-08,Private room,8550
2023-08,Shared room,147
2023-09,Entire home/apt,7411
2023-09,Hotel room,4
2023-09,Private room,7758
2023-09,Shared room,154
2023-10,Entire home/apt,5769
2023-10,Hotel room,6
2023-10,Private room,6048
2023-10,Shared room,133
2023-11,Entire home/apt,4134
2023-11,Hotel room,7
2023-11,Private room,4259
2023-11,Shared room,81
2023-12,Entire home/apt,3465
2023-12,Hotel room,31
2023-12,Private room,3854
2023-12,Shared room,61
2024-01,Entire home/apt,2755
2024-01,Hotel room,31
2024-01,Private room,3215
2024-01,Shared room,32
2024-02,Entire home/apt,2554
2024-02,Hotel room,26
2024-02,Private room,3346
2024-02,Shared room,48
2024-03,Entire home/apt,3307
2024-03,Hotel room,28
2024-03,Private room,4684
2024-03,Shared room,58
2024-04,Entire home/apt,3502
2024-04,Hotel room,21
2024-04,Private room,5351
2024-04,Shared room,73
2024-05,Entire home/apt,4238
2024-05,Hotel room,36
2024-05,Private room,6783
2024-05,Shared room,107
2024-06,Entire home/apt,4387
2024-06,Hotel room,40
2024-06,Private room,7263
2024-06,Shared room,97
2024-07,Entire home/apt,4481
2024-07,Hotel room,106
2024-07,Private room,7355
2024-07,Shared room,93
2024-08,Entire home/apt,4766
2024-08,Hotel room,48
2024-08,Private room,7536
2024-08,Shared room,85
2024-09,Entire home/apt,5072
2024-09,Hotel room,18
2024-09,Private room,8315
2024-09,Shared room,140
2024-10,Entire home/apt,5359
2024-10,Hotel room,4
2024-10,Private room,8235
2024-10,Shared room,107
2024-11,Entire home/apt,4763
2024-11,Hotel room,15
2024-11,Private room,7132
2024-11,Shared room,83
2024-12,Entire home/apt,5365
2024-12,Hotel room,13
2024-12,Private room,7495
2024-12,Shared room,100
2025-01,Entire home/apt,4202
2025-01,Hotel room,59
2025-01,Private room,5686
2025-01,Shared room,55
2025-02,Entire home/apt,3476
2025-02,Hotel room,59
2025-02,Private room,4654
2025-02,Shared room,51
2025-03,Entire home/apt,4501
2025-03,Hotel room,29
2025-03,Private room,6387
2025-03,Shared room,81
2025-04,Entire home/apt,4663
2025-04,Hotel room,28
2025-04,Private room,6703
2025-04,Shared room,82
2025-05,Entire home/apt,5412
2025-05,Hotel room,14
2025-05,Private room,8237
2025-05,Shared room,128
2025-06,Entire home/apt,5204
2025-06,Hotel room,35
2025-06,Private room,8181
2025-06,Shared room,109
2025-07,Entire home/apt,4873
2025-07,Hotel room,64
2025-07,Private room,7825
2025-07,Shared room,82
2025-08,Entire home/apt,5568
2025-08,Hotel room,69
2025-08,Private room,8487
2025-08,Shared room,69
2025-09,Entire home/apt,5442
2025-09,Hotel room,34
2025-09,Private room,9132
2025-09,Shared room,115
2025-10,Entire home/apt,4500
2025-10,Hotel room,36
2025-10,Private room,7404
2025-10,Shared room,86
2025-11,Entire home/apt,26
2025-11,Hotel room,1
2025-11,Private room,72
