listing_id,latitude,longitude,number_of_reviews_ltm,host_is_superhost,neighbourhood_cleansed
9623722,40.80233,-73.94515,38,True,East Harlem
9576278,40.68648,-73.92131,26,False,Bedford-Stuyvesant
9752005,40.73833,-74.0042,9,True,West Village
9767424,40.71566,-73.96195,46,True,Williamsburg
9729286,40.740441550848495,-73.9814203127611,52,True,Kips Bay
9786543,40.68512,-73.92869,6,True,Bedford-Stuyvesant
9788114,40.81965,-73.92911,83,True,Concourse
9899132,40.74514,-73.95295,6,True,Long Island City
9976264,40.72561,-73.95389,29,True,Greenpoint
9987988,40.677029300194825,-73.93009538016793,56,False,Crown Heights
9996642,40.67545,-73.97667,58,True,Park Slope
10073940,40.68826,-73.80384,28,True,Jamaica
10086307,40.80746902453989,-73.95076052320773,30,True,Harlem
10165064,40.79286,-73.96823,35,True,Upper West Side
10386341,40.69493,-73.94314,51,True,Bedford-Stuyvesant
10280345,40.6428,-73.96173,57,True,Flatbush
10280549,40.64319,-73.96105,57,True,Flatbush
10413576,40.64365,-74.09113,57,True,New Brighton
10289124,40.6864,-73.94076,20,True,Bedford-Stuyvesant
10478526,40.6486509,-74.000759,11,True,Sunset Park
10489240,40.71681027597294,-73.88226988996738,35,True,Middle Village
10527274,40.67699396922501,-73.92712547023973,36,True,Crown Heights
10637554,40.644142150878906,-73.9665756225586,17,True,Flatbush
10881164,40.6889,-73.96349,6,True,Clinton Hill
10709249,40.68201635104697,-73.91594640163612,34,True,Bedford-Stuyvesant
10710179,40.72809,-73.98171,25,True,East Village
10886971,40.68445,-73.9485,42,True,Bedford-Stuyvesant
11046927,40.7342,-73.95714,6,False,Greenpoint
11234747,40.766,-73.93158,28,True,Astoria
11371535,40.85306,-73.86644,6,True,Bronxdale
11371773,40.69558,-73.93466,21,True,Bedford-Stuyvesant
11619832,40.83130236832995,-73.94306020491814,14,False,Harlem
11649232,40.71455051075717,-73.96420064187421,17,True,Williamsburg
11496607,40.804048279839726,-73.94549911530724,34,True,Harlem
11753760,40.66866,-73.98605,40,True,South Slope
12041170,40.68594,-73.85578,22,True,Ozone Park
11927032,40.682026,-73.915649,39,True,Bedford-Stuyvesant
12052143,40.77764,-73.97771,6,False,Upper West Side
12344456,40.67548,-73.9815,67,True,Park Slope
12610244,40.80763372164886,-73.95202060478695,6,True,Harlem
12495831,40.75769,-73.96592,6,True,Midtown
12701430,40.84763270162584,-73.90533921386901,23,True,Mount Hope
12965831,40.71263,-73.947,17,True,Williamsburg
12867918,40.76947,-73.95647,6,True,Upper East Side
13004961,40.80693282670203,-73.94565671073971,16,True,Harlem
13004967,40.80526,-73.94618,12,True,Harlem
13113906,40.66971,-73.98666,6,True,Park Slope
13125552,40.70386,-73.93025,27,True,Bushwick
13135822,40.76295577173212,-73.99123101911954,33,True,Hell's Kitchen
13101855,40.6139,-73.9231,23,True,Flatlands
13209522,40.61992,-74.00117,22,True,Bensonhurst
13332816,40.73114,-73.98629,8,True,East Village
13355002,40.638,-73.90902,37,True,Canarsie
13388649,40.76435,-73.90887,7,True,Astoria
13436258,40.81896,-73.92782,12,False,Concourse
13392858,40.68826,-73.98558,6,True,Boerum Hill
13398340,40.68725708020328,-73.94281900555438,41,True,Bedford-Stuyvesant
13398348,40.71503,-73.96203,21,True,Williamsburg
13474455,40.68435,-73.94544,32,True,Bedford-Stuyvesant
13640966,40.8089120692314,-73.94696534432425,15,False,Harlem
13536155,40.75353,-73.93886,46,True,Long Island City
13674799,40.67796,-73.99871,65,True,Carroll Gardens
13685807,40.7645552,-73.9921299,40,True,Hell's Kitchen
13603364,40.76408,-73.91262,6,True,Astoria
13606307,40.66193786783542,-73.92820913836941,13,False,East Flatbush
13724284,40.65642,-73.95937,62,True,Prospect-Lefferts Gardens
13766130,40.7096364,-73.9622404,14,True,Williamsburg
13730290,40.80651,-73.94809,26,False,Harlem
13788132,40.69602,-73.96182,74,True,Clinton Hill
13938420,40.66073,-73.95545,47,True,Prospect-Lefferts Gardens
13813731,40.67826,-73.92691,46,True,Bedford-Stuyvesant
13997552,40.75622,-73.91389,42,True,Astoria
13902725,40.75757,-73.98962,25,True,Hell's Kitchen
14030375,40.68269,-73.94419,26,True,Bedford-Stuyvesant
14055238,40.67178,-73.97458,60,True,Park Slope
14421383,40.69641,-73.91917,20,True,Bushwick
14177028,40.71688,-73.96479,22,True,Williamsburg
14429976,40.71216,-73.96305,26,True,Williamsburg
14470437,40.67478,-73.92719,10,True,Crown Heights
14485877,40.64533,-73.90939,7,True,Canarsie
14281526,40.70983,-73.73904,17,True,Queens Village
14318774,40.734428,-73.855394,51,False,Forest Hills
14557504,40.67500305175781,-73.95166778564453,40,False,Crown Heights
14340142,40.68883090329173,-73.92742357784259,16,False,Bedford-Stuyvesant
14661553,40.67978568784863,-73.99926761292807,34,True,Carroll Gardens
14710763,40.6965,-73.9455,46,True,Bedford-Stuyvesant
14406923,40.74945,-73.8201,7,False,Flushing
15083823,40.67763,-74.012,28,True,Red Hook
15095589,40.65561,-74.00077,17,True,Sunset Park
15115382,40.67764,-73.94803,73,True,Crown Heights
15141938,40.7445,-73.99397,46,True,Chelsea
15250033,40.65841,-73.95942,53,True,Prospect-Lefferts Gardens
14918238,40.68452,-73.95378,101,True,Bedford-Stuyvesant
14931156,40.66022,-73.95277,6,True,Prospect-Lefferts Gardens
15312128,40.69015,-73.97698,21,True,Fort Greene
14961122,40.68345,-73.91808,19,True,Bedford-Stuyvesant
15002637,40.79789399505816,-73.97049288023874,41,True,Upper West Side
15038469,40.67033,-73.9892,69,True,Gowanus
15371951,40.70223617553711,-73.92704772949219,101,True,Bushwick
15067291,40.80981,-73.94492,27,True,Harlem
15381675,40.6857435,-73.91310460000001,48,False,Bushwick
15436836,40.68533,-73.99775,34,True,Cobble Hill
15733438,40.79029740587497,-73.94107272907699,31,False,East Harlem
15485880,40.72581,-73.97788,32,True,East Village
15772447,40.70355,-73.98492,63,True,DUMBO
15774003,40.60417,-73.95651,29,True,Sheepshead Bay
15517104,40.66864,-73.99188,21,True,Gowanus
15522627,40.66727,-73.99173,15,True,Gowanus
15785088,40.68089,-73.9629,46,False,Clinton Hill
15581948,40.67551,-73.97542,39,True,Park Slope
15819665,40.68352,-73.90748,31,True,Bushwick
15635167,40.76157,-73.96979,17,True,Midtown
15858847,40.80816,-73.95487,50,False,Harlem
15732778,40.65761,-73.96116,6,True,Prospect-Lefferts Gardens
16004776,40.69693,-73.98437,33,True,Downtown Brooklyn
16122024,40.84581064025701,-73.93588012658451,33,True,Washington Heights
16201959,40.68871,-73.9377,43,True,Bedford-Stuyvesant
16365878,40.68653,-73.9458,7,True,Bedford-Stuyvesant
16620235,40.68490219116211,-73.94234466552734,32,False,Bedford-Stuyvesant
16480273,40.68954766514468,-73.93582714896075,18,False,Bedford-Stuyvesant
16488787,40.64265,-74.00261,29,True,Sunset Park
16506016,40.80255433837211,-73.94299800608636,27,True,East Harlem
16677170,40.74332,-74.00078,7,True,Chelsea
16534157,40.62202,-73.95375,35,True,Midwood
16954330,40.80799,-73.95006,14,True,Harlem
16965094,40.745543179319306,-73.88279958097836,20,True,Elmhurst
16969156,40.75858,-73.96103,6,True,Midtown
17265284,40.60094705249438,-73.95054516009961,33,True,Sheepshead Bay
17097495,40.809,-73.95166,10,True,Harlem
17347938,40.75626501680838,-73.91593615929375,42,True,Astoria
17153913,40.72594284446557,-73.95295829414087,54,True,Greenpoint
17157615,40.7247,-73.98756,73,True,East Village
