review_year,month_num,month_label,listing_id,name,room_type,neighbourhood_cleansed,review_count,review_scores_rating,price,number_of_reviews_ltm
2020,9,Sep,22431770,Freehand New York - Premium Queen Room,Hotel room,Flatiron District,14,4.48,383.0,35.0
2020,9,Sep,27714862,"Spacious, Private Oasis in Historic Brownstone",Entire home/apt,Bedford-Stuyvesant,13,4.92,126.0,0.0
2020,9,Sep,32284910,"Nice 1-Room near LGA, Citi Field, Manhattan",Private room,East Elmhurst,13,4.82,60.0,0.0
2020,9,Sep,29592768,Filomena’s,Private room,Ditmars Steinway,12,4.81,89.0,1.0
2020,9,Sep,35258943,The Baly Simpson Inn (Unit 1),Private room,Prospect-Lefferts Gardens,10,4.92,225.0,0.0
2020,9,Sep,836143712015846264,Mint House at 70 Pine: Premium Studio Suite,Entire home/apt,Financial District,10,4.91,445.0,39.0
2020,9,Sep,33469797,NYC Paradise POOL OASIS,Entire home/apt,Jamaica,10,4.9,100.0,2.0
2020,9,Sep,39537097,"Cozy Private studio in Astoria, 20 min to Manhatta",Entire home/apt,Ditmars Steinway,10,4.87,90.0,4.0
2020,9,Sep,38496782,Spacious Newly Renovated 2 bedroom Apt,Entire home/apt,Canarsie,10,4.69,69.0,0.0
2020,9,Sep,33833257,Huge Room   30 Min To Manhattan,Private room,Bedford-Stuyvesant,10,4.59,,0.0
2020,9,Sep,34071691,City Queen,Hotel room,SoHo,10,4.57,,0.0
2020,10,Oct,35545595,Georgian Studio in the Heart of Chelsea,Private room,Chelsea,51,4.38,275.0,81.0
2020,10,Oct,37122502,Amazing Micro Unit W/ communal rooftop and kitchen,Private room,East Village,50,4.54,279.0,29.0
2020,10,Oct,34071962,King Room Sky,Hotel room,Midtown,45,4.6,,1.0
2020,10,Oct,37122162,Beautiful Standard Full Room at The Ridge,Private room,Lower East Side,43,4.42,238.0,24.0
2020,10,Oct,34071692,Two Twin Room,Hotel room,SoHo,34,4.43,,0.0
2020,10,Oct,34071691,City Queen,Hotel room,SoHo,28,4.57,,0.0
2020,10,Oct,34072160,Queen Room,Hotel room,Midtown,24,4.6,,0.0
2020,10,Oct,34071699,City Queen – Terrace,Hotel room,SoHo,15,4.45,,0.0
2020,10,Oct,27598707,Freehand New York - Solo Room,Private room,Flatiron District,15,4.38,,0.0
2020,10,Oct,39537097,"Cozy Private studio in Astoria, 20 min to Manhatta",Entire home/apt,Ditmars Steinway,14,4.87,90.0,4.0
2020,10,Oct,22431770,Freehand New York - Premium Queen Room,Hotel room,Flatiron District,14,4.48,383.0,35.0
2020,10,Oct,37140882,Spacious queen room with vast city views in SoHo,Private room,SoHo,14,4.36,,0.0
2020,10,Oct,34487491,Spacious Luxury King Bed Room,Private room,Midtown,14,4.24,412.0,52.0
2020,10,Oct,42584572,"The Brooklyn Loft, 30 minutes from Manhattan",Entire home/apt,Crown Heights,13,4.81,,1.0
2020,10,Oct,34487373,Luxury ADA King Room,Private room,Midtown,13,4.22,,6.0
